scenario_id	domain	domain_index	brief	audience_id	audience_label	reference_image	hex_1	hex_2	hex_3	hex_4	hex_5	lab_L_1	lab_a_1	lab_b_1	lab_L_2	lab_a_2	lab_b_2	lab_L_3	lab_a_3	lab_b_3	lab_L_4	lab_a_4	lab_b_4	lab_L_5	lab_a_5	lab_b_5	annotator_a1	annotator_a2	annotator_a3	annotator_kappa	design_intent_tags	annotation_date	version
CRDS-INF-0140	infographic	2	A migration pattern visualisation for general adults (30-49), with a strong primary brand colour; must reproduce well in print. Type-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0140.jpg	#080364	#06458A	#006EB3	#0996CE	#4BDDEC	9.29	38.32	-52.62	29.74	10.32	-43.39	44.81	0.12	-43.8	58.34	-12.73	-37.85	81.43	-33.5	-18.63	A1	A2	A3	0.86	educational;instructional;vivid;modern	19/05/2024	1
CRDS-INF-0141	infographic	2	A human-body system overview for general adults (30-49), evoking nostalgia; must remain legible in small thumbnails. Strong use of negative space. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#17565B	#4BD1BA	#FFFFFF	#FC7175	#FFE56F	33.12	-17.52	-8.65	76.46	-41.65	0.72	100.0	-0.0	0.0	64.8	53.36	24.21	90.98	-5.07	59.78	A1	A2	A3	0.89	calm;credible;data-driven	19/05/2024	1
CRDS-INF-0142	infographic	2	A startup-funding rounds summary for general adults (30-49), with seasonal-winter overtones; viewed in low-light indoor settings. Dense layout with multiple data sections. Long-form reading is the primary mode of consumption. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0142.jpg	#175153	#4ED5C0	#E9FCE8	#FF7E75	#F8DF70	31.09	-17.45	-6.62	77.88	-41.41	-0.42	97.13	-9.78	7.46	67.63	48.25	28.04	88.88	-4.81	56.73	A1	A2	A3	0.72	data-driven;clear;credible	18/05/2024	1
CRDS-INF-0143	infographic	2	A meal-plan nutrition breakdown for young adults (18-29), with a tactile, organic feeling; the design must support light and dark themes. Layout uses a clear visual hierarchy. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-INF-0143.jpg	#000568	#00318C	#0074BE	#0098CA	#45C4DC	9.86	38.27	-54.34	23.96	24.93	-54.03	47.24	0.78	-46.3	58.71	-15.58	-35.04	73.49	-26.97	-22.11	A1	A2	A3	0.79	trustworthy;stable;instructional;sequential	19/05/2024	1
CRDS-INF-0144	infographic	2	A Olympic-medal-table breakdown for young adults (18-29), with a strong photographic anchor; must remain legible in small thumbnails. Layout uses a clear visual hierarchy. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#19535E	#49C0C5	#FBFBFB	#FA6A71	#FFE961	32.26	-14.46	-11.84	71.65	-31.17	-12.36	98.62	-0.0	0.0	63.2	55.57	24.29	91.87	-8.01	66.85	A1	A2	A3	0.87	scientific;sequential	18/05/2024	1
CRDS-INF-0145	infographic	2	A cybersecurity attack-vector overview for general adults (30-49), with a luxurious metallic accent; primarily viewed on desktop screens. Image-heavy layout. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#133246	#1D4A72	#5291D7	#DCE4EC	#E9EBED	19.48	-3.96	-15.82	30.33	-0.73	-27.45	58.93	1.06	-41.87	90.21	-1.17	-4.81	92.95	-0.31	-1.2	A1	A2	A3	0.77	stable;modern;credible	18/05/2024	1
CRDS-INF-0146	infographic	2	A historic-event timeline for teens (13-17), with a tactile, organic feeling; intended for digital-only display. Layout uses a clear visual hierarchy. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-INF-0146.jpg	#1E545E	#4BD1D0	#FFFFFF	#F96C5F	#FFE16E	32.75	-14.15	-11.08	77.07	-35.81	-10.22	100.0	-0.0	0.0	63.09	53.07	34.25	89.97	-3.13	59.07	A1	A2	A3	0.78	informative;instructional;scientific;calm	18/05/2024	1
CRDS-INF-0147	infographic	2	A DevOps deployment process for professional / b2b, with seasonal-winter overtones; the design must support light and dark themes. Strong use of negative space. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#0A223B	#1E4D76	#589ED4	#DEE4EB	#F6F8FA	12.76	1.06	-18.8	31.56	-0.96	-28.03	62.74	-6.2	-34.2	90.33	-0.71	-4.1	97.48	-0.31	-1.19	A1	A2	A3	0.88	instructional;corporate	21/05/2024	1
CRDS-INF-0148	infographic	2	A election-result breakdown for general adults (30-49), in a muted desaturated palette; viewed in low-light indoor settings. Strong use of negative space. The palette should feel current but should not chase fleeting trends. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#215864	#50D3D2	#F8FFF9	#FB5E6A	#FFE96D	34.44	-13.83	-12.27	77.84	-35.4	-10.13	99.35	-3.35	2.06	61.27	60.6	25.76	91.97	-7.21	61.8	A1	A2	A3	0.83	informative;data-driven;corporate	20/05/2024	1
CRDS-INF-0149	infographic	2	A history of computing timeline for professional / b2b, with a clean editorial layout; must respect existing brand-colour guidelines. Single hero anchor with supporting elements. Cultural connotations of certain colours should be considered for the target market. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#194D57	#56D0CA	#ECF7EC	#FF7473	#FFE668	29.92	-13.43	-10.95	76.89	-35.15	-7.22	96.17	-5.58	4.03	65.74	52.85	26.67	91.17	-6.06	63.09	A1	A2	A3	0.7	stable;informative;scientific	20/05/2024	1
CRDS-INF-0150	infographic	2	A cryptocurrency market overview for older adults (50+), with a tactile, organic feeling; intended as a fresh visual identity. Single hero anchor with supporting elements. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0150.jpg	#030D65	#005293	#0084B6	#0598D1	#43BEEC	10.9	33.35	-50.61	34.27	4.97	-41.61	51.7	-11.81	-34.65	59.06	-12.87	-38.42	72.28	-19.2	-32.64	A1	A2	A3	0.86	trustworthy;data-driven;educational;modern	18/05/2024	1
CRDS-INF-0151	infographic	2	A endangered-species count breakdown for young adults (18-29), in a muted desaturated palette; primarily viewed on desktop screens. Type-heavy layout. The palette should feel current but should not chase fleeting trends. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-INF-0151.jpg	#122B4A	#204B79	#5F9BD3	#E7EDF5	#F5F5F5	17.23	2.41	-22.09	31.16	1.84	-30.53	62.15	-3.39	-34.55	93.52	-0.52	-4.55	96.54	-0.0	0.0	A1	A2	A3	0.76	corporate;credible;vivid;instructional	20/05/2024	1
CRDS-INF-0152	infographic	2	A API request lifecycle for children (under 12), in a playful, hand-drawn style; must reproduce well on backlit large-format displays. Dense layout with multiple data sections. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-INF-0152.jpg	#234651	#2E9584	#E9BF75	#F3B068	#EE7D4C	27.66	-9.09	-10.48	55.83	-33.31	0.46	79.54	5.97	42.77	76.74	16.87	46.1	64.46	39.69	45.67	A1	A2	A3	0.77	credible;informative;educational;vivid	20/05/2024	1
CRDS-INF-0153	infographic	2	A ocean-plastic pollution data for general adults (30-49), with seasonal-winter overtones; intended as a fresh visual identity. Single hero anchor with supporting elements. This is a fresh brand expression with no prior colour constraints. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0153.jpg	#134E53	#4FCED4	#ECFFEC	#F76C63	#FFE061	29.94	-16.42	-8.37	76.41	-32.66	-13.35	98.2	-9.58	6.96	62.85	52.63	31.65	89.6	-3.51	64.39	A1	A2	A3	0.68	informative;sequential	21/05/2024	1
CRDS-INF-0154	infographic	2	A ocean-plastic pollution data for general adults (30-49), in a vibrant neon style; intended for digital-only display. Symmetrical composition. Status indicators (success, warning, error) must be clearly distinguishable. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#144C54	#42BFC4	#EFFFEE	#FF7683	#FFDC62	29.3	-14.76	-9.97	71.15	-32.06	-12.59	98.45	-8.24	6.32	66.41	53.23	18.55	88.61	-1.42	62.87	A1	A2	A3	0.7	modern;clear;data-driven	18/05/2024	1
CRDS-INF-0155	infographic	2	A Olympic-medal-table breakdown for children (under 12), with seasonal-autumn overtones; viewed in bright outdoor settings. Asymmetrical composition. Tone should feel premium without being intimidating. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-INF-0155.jpg	#25414C	#2A998F	#E7CF66	#F6A16E	#DD644E	25.85	-7.09	-9.95	57.32	-32.68	-3.64	83.22	-4.38	54.41	73.68	26.44	39.35	57.12	45.79	35.36	A1	A2	A3	0.79	informative;trustworthy;clear	18/05/2024	1
CRDS-INF-0156	infographic	2	A voter-turnout demographic chart for general adults (30-49), using a soft pastel palette; viewed in low-light indoor settings. Single hero anchor with supporting elements. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#23414A	#299993	#E6C763	#EFA455	#E96E58	25.66	-8.31	-8.94	57.42	-31.65	-5.78	81.06	-0.91	53.28	73.26	20.27	51.24	60.94	45.97	34.92	A1	A2	A3	0.78	vivid;stable;clear;informative	20/05/2024	1
CRDS-INF-0157	infographic	2	A cryptocurrency market overview for general adults (30-49), with a strong photographic anchor; intended as a fresh visual identity. Symmetrical composition. This is a fresh brand expression with no prior colour constraints. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0B2541	#254B80	#60ACDA	#DFE3EA	#FBFBFB	14.26	1.67	-20.62	31.77	5.4	-33.9	67.32	-10.46	-30.41	90.12	-0.05	-3.87	98.62	-0.0	0.0	A1	A2	A3	0.8	stable;corporate	21/05/2024	1
CRDS-INF-0158	infographic	2	A economic-recovery indicators dashboard for general adults (30-49), in a vibrant neon style; must work in monochrome fallback. Layout uses a clear visual hierarchy. Status indicators (success, warning, error) must be clearly distinguishable. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0158.jpg	#233316	#67733E	#FCF9DB	#D68F52	#B5672C	19.15	-12.98	16.23	46.3	-13.64	27.74	97.46	-3.92	14.77	65.4	20.94	42.9	51.51	26.64	45.23	A1	A2	A3	0.77	credible;instructional;trustworthy	21/05/2024	1
CRDS-INF-0159	infographic	2	A solar-system planet comparison for general adults (30-49), with a tactile, organic feeling; viewed in low-light indoor settings. Multi-column grid. Status indicators (success, warning, error) must be clearly distinguishable. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0159.jpg	#1E4A32	#357259	#80CBA0	#E4F8E4	#FFFFFF	27.85	-21.74	9.84	43.52	-26.27	7.9	75.97	-32.65	14.21	95.68	-10.14	7.37	100.0	-0.0	0.0	A1	A2	A3	0.82	calm;clear;modern	21/05/2024	1
CRDS-INF-0160	infographic	2	A real-estate price trends for older adults (50+), with a luxurious metallic accent; must respect existing brand-colour guidelines. Type-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0160.jpg	#264854	#249F86	#E9D176	#FDA26F	#F0705B	28.61	-8.54	-10.96	58.87	-38.68	3.72	84.09	-3.27	47.87	74.75	28.77	40.34	62.4	47.74	35.3	A1	A2	A3	0.79	modern;educational;informative;corporate	18/05/2024	1
CRDS-INF-0161	infographic	2	A global-population age-distribution chart for mixed / accessibility-first, evoking modernity; must reproduce well on backlit large-format displays. Mixed text and graphics. Brief, scannable interaction is the primary mode of consumption. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first	images/CRDS-INF-0161.jpg	#195B62	#4DD2D3	#EDFFED	#FF6369	#F6D568	35.14	-17.61	-9.98	77.5	-35.13	-11.18	98.29	-9.08	6.59	62.68	59.72	28.3	86.1	-1.15	57.15	A1	A2	A3	0.71	informative;vivid;data-driven	22/05/2024	1
CRDS-INF-0162	infographic	2	A household energy-consumption guide for general adults (30-49), favouring earth tones; must reproduce well on backlit large-format displays. Asymmetrical composition. Long-form reading is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#273116	#596839	#F6F0DF	#E3AC56	#B77323	18.74	-9.89	15.79	41.72	-14.27	24.56	94.84	-0.84	8.93	73.88	11.09	51.1	54.5	20.53	52.12	A1	A2	A3	0.71	stable;calm	20/05/2024	1
CRDS-INF-0163	infographic	2	A DevOps deployment process for general adults (30-49), in a strict geometric style; primarily viewed on desktop screens. Dense layout with multiple data sections. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0163.jpg	#00005D	#074D8D	#067BB7	#0088D0	#41C9E5	7.14	37.74	-51.54	32.42	6.18	-40.91	49.03	-5.97	-39.41	54.2	-4.26	-45.52	75.17	-27.23	-24.42	A1	A2	A3	0.84	instructional;corporate;educational	22/05/2024	1
CRDS-INF-0164	infographic	2	A voter-turnout demographic chart for young adults (18-29), using a soft pastel palette; must respect existing brand-colour guidelines. Mixed text and graphics. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-INF-0164.jpg	#1C505A	#4EC0C5	#F7FAF7	#FF756D	#F9E467	31.17	-13.58	-10.96	71.79	-30.33	-12.14	97.98	-1.52	1.09	65.82	51.93	30.13	90.14	-7.57	62.24	A1	A2	A3	0.81	clear;instructional;scientific;data-driven	18/05/2024	1
CRDS-INF-0165	infographic	2	A economic-recovery indicators dashboard for professional / b2b, favouring earth tones; must reproduce well on backlit large-format displays. Image-heavy layout. This is a fresh brand expression with no prior colour constraints. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0165.jpg	#0C263D	#1B4D79	#5389CE	#E0E7ED	#F8F8F8	14.41	-0.65	-17.6	31.63	-0.23	-29.8	56.27	2.97	-40.99	91.29	-1.22	-3.72	97.58	-0.0	0.0	A1	A2	A3	0.74	modern;stable;informative	20/05/2024	1
CRDS-INF-0166	infographic	2	A deforestation rate visualisation for professional / b2b, evoking nostalgia; must respect existing brand-colour guidelines. Dense layout with multiple data sections. Tone should feel premium without being intimidating. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0166.jpg	#12344A	#1F527C	#609BD4	#D4DBE4	#E2E5ED	20.36	-3.9	-17.16	33.52	-1.71	-28.66	62.24	-2.86	-34.97	87.12	-0.66	-5.22	90.93	0.46	-4.23	A1	A2	A3	0.82	data-driven;modern;instructional;stable	22/05/2024	1
CRDS-INF-0167	infographic	2	A city-transit map for young adults (18-29), using a soft pastel palette; primarily viewed on mobile devices. Dense layout with multiple data sections. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#0B2840	#1D5677	#64A7DE	#DEE3E6	#E2E7F3	15.27	-0.97	-18.33	34.49	-6.45	-24.04	66.23	-5.67	-34.28	89.94	-1.13	-2.05	91.59	0.56	-6.39	A1	A2	A3	0.81	credible;modern	18/05/2024	1
CRDS-INF-0168	infographic	2	A historic-event timeline for children (under 12), with a tactile, organic feeling; intended for digital-only display. Strong use of negative space. Long-form reading is the primary mode of consumption. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-INF-0168.jpg	#FFCA0F	#F5690D	#F60077	#733AF2	#3E9DFF	83.73	4.83	83.46	61.26	50.16	67.68	52.87	81.96	6.38	42.88	64.85	-82.79	63.63	4.9	-56.55	A1	A2	A3	0.8	vivid;informative	19/05/2024	1
CRDS-INF-0169	infographic	2	A international trade flows map for professional / b2b, with a strong primary brand colour; must respect existing brand-colour guidelines. Asymmetrical composition. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#10314D	#1C4F77	#5AA4DD	#CDDCE8	#EFF0F2	19.4	-0.96	-20.69	32.19	-2.17	-27.66	64.92	-6.32	-35.8	86.99	-2.67	-7.58	94.77	0.02	-1.08	A1	A2	A3	0.82	modern;corporate;credible;informative	19/05/2024	1
CRDS-INF-0170	infographic	2	A machine-learning model architecture for general adults (30-49), with seasonal-autumn overtones; the design must support light and dark themes. Single hero anchor with supporting elements. The palette should feel current but should not chase fleeting trends. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#21404E	#2C9A8B	#EEC962	#F1A866	#DE614D	25.38	-6.87	-12.0	57.57	-34.0	-1.0	82.29	1.29	55.36	74.62	20.13	44.48	56.7	47.52	35.45	A1	A2	A3	0.72	clear;trustworthy	21/05/2024	1
CRDS-INF-0171	infographic	2	A computer-network topology for older adults (50+), favouring earth tones; primarily viewed on desktop screens. Image-heavy layout. The work must hold up against busy backgrounds in the deployment context. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0171.jpg	#1E2D12	#60723D	#FFFED8	#E5A360	#C57C30	16.49	-12.34	15.37	45.44	-16.22	27.1	98.87	-5.82	18.33	72.03	17.42	44.09	58.51	22.15	51.15	A1	A2	A3	0.86	clear;stable	21/05/2024	1
CRDS-INF-0172	infographic	2	A international trade flows map for teens (13-17), with a luxurious metallic accent; intended for digital-only display. Single hero anchor with supporting elements. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-INF-0172.jpg	#274E57	#2D9586	#EAD374	#FCA070	#E86951	30.8	-10.94	-9.56	55.86	-32.91	-0.64	84.66	-4.06	49.55	74.2	29.49	39.1	59.76	47.58	37.29	A1	A2	A3	0.75	instructional;credible;trustworthy;educational	21/05/2024	1
CRDS-INF-0173	infographic	2	A diet-comparison overview for young adults (18-29), in a light-mode-first treatment; must reproduce well on backlit large-format displays. Single hero anchor with supporting elements. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#294E5A	#28A091	#EDC768	#EBA965	#E46655	31.02	-9.45	-11.14	59.56	-35.63	-1.5	81.76	2.36	51.91	74.18	17.07	44.3	58.66	47.8	33.59	A1	A2	A3	0.82	modern;clear	19/05/2024	1
CRDS-INF-0174	infographic	2	A deforestation rate visualisation for professional / b2b, with iconography-driven layout; intended as a fresh visual identity. Single hero anchor with supporting elements. Status indicators (success, warning, error) must be clearly distinguishable. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0174.jpg	#26495A	#29A197	#EEBC6E	#FDA35C	#E57E59	29.2	-7.13	-13.93	60.06	-34.26	-4.14	79.2	8.98	45.95	74.73	26.93	49.95	63.59	36.49	37.52	A1	A2	A3	0.79	credible;data-driven;clear;trustworthy	19/05/2024	1
CRDS-INF-0175	infographic	2	A endangered-species count breakdown for teens (13-17), in a muted desaturated palette; the design must support light and dark themes. Symmetrical composition. Long-form reading is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-INF-0175.jpg	#1B4536	#286544	#74C79F	#CEEECF	#FDFEFF	26.03	-18.93	4.69	38.16	-28.21	12.93	74.23	-34.39	12.22	91.13	-16.15	11.54	99.61	-0.15	-0.59	A1	A2	A3	0.76	calm;trustworthy;clear;modern	19/05/2024	1
CRDS-INF-0176	infographic	2	A history of computing timeline for professional / b2b, tested under colour-vision-deficiency simulation; viewed in bright outdoor settings. Multi-column grid. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0176.jpg	#0F2949	#234A7E	#5EA3D8	#CCD7E7	#F1F6FF	16.35	2.9	-22.81	31.26	4.96	-33.48	64.59	-6.54	-33.54	85.61	-0.58	-9.12	96.75	-0.01	-4.88	A1	A2	A3	0.86	calm;informative;stable;modern	19/05/2024	1
CRDS-INF-0177	infographic	2	A world religions comparison chart for older adults (50+), with seasonal-winter overtones; must work in monochrome fallback. Strong use of negative space. The palette should feel current but should not chase fleeting trends. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0177.jpg	#175559	#51D6C2	#ECF7EB	#FA6F71	#FFDC6A	32.7	-17.65	-8.02	78.31	-40.84	-0.86	96.14	-5.76	4.51	64.07	53.29	25.45	88.68	-0.89	59.4	A1	A2	A3	0.88	data-driven;scientific;informative;stable	20/05/2024	1
CRDS-INF-0178	infographic	2	A international trade flows map for general adults (30-49), respecting WCAG-AAA contrast; intended for digital-only display. Image-heavy layout. The atmosphere should feel approachable and human. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-INF-0178.jpg	#2D3C1D	#6E7538	#FFFDEC	#E1AE55	#B8722B	23.26	-12.65	17.16	47.4	-12.34	32.44	99.05	-2.2	8.37	74.15	9.12	51.83	54.45	21.83	48.77	A1	A2	A3	0.7	instructional;stable;credible	19/05/2024	1
CRDS-INF-0179	infographic	2	A deforestation rate visualisation for older adults (50+), evoking nostalgia; primarily viewed on mobile devices. Type-heavy layout. Category coding will be used and needs at least four distinct hues. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#263519	#5F6839	#FEF8DD	#E2AC5D	#C4762C	20.16	-12.33	15.65	42.2	-11.65	25.27	97.4	-2.41	13.69	73.85	11.16	47.66	56.96	24.83	51.32	A1	A2	A3	0.78	trustworthy;instructional;stable;calm	22/05/2024	1
CRDS-INF-0180	infographic	2	A startup-funding rounds summary for general adults (30-49), in a vibrant neon style; viewed in bright outdoor settings. Strong use of negative space. Status indicators (success, warning, error) must be clearly distinguishable. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#174855	#50CDC3	#F0FFF1	#F66364	#FFF073	28.04	-11.53	-12.53	75.64	-36.67	-5.32	98.59	-7.39	5.0	61.17	56.41	28.89	93.81	-10.24	61.22	A1	A2	A3	0.74	vivid;instructional;scientific;clear	20/05/2024	1
CRDS-INF-0181	infographic	2	A household energy-consumption guide for professional / b2b, in a light-mode-first treatment; primarily viewed on desktop screens. Layout uses a clear visual hierarchy. The work must hold up against busy backgrounds in the deployment context. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0181.jpg	#FF6859	#FFDB35	#89CE1D	#1581CA	#735097	63.25	56.57	37.96	88.06	-3.05	79.04	75.79	-45.62	71.11	51.97	-1.59	-45.63	40.6	29.34	-33.55	A1	A2	A3	0.79	calm;stable;vivid	22/05/2024	1
CRDS-INF-0182	infographic	2	A real-estate price trends for older adults (50+), with seasonal-winter overtones; must remain legible in small thumbnails. Image-heavy layout. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#013F64	#0257A9	#F5F5F5	#FFB40A	#040404	25.2	-2.39	-26.69	37.28	10.94	-49.97	96.54	-0.0	0.0	78.42	16.19	80.22	1.1	-0.0	0.0	A1	A2	A3	0.78	data-driven;trustworthy	20/05/2024	1
CRDS-INF-0183	infographic	2	A migration pattern visualisation for older adults (50+), respecting WCAG-AAA contrast; intended as a fresh visual identity. Image-heavy layout. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0183.jpg	#24414A	#259481	#E5CA65	#F5B565	#F07E54	25.71	-8.03	-8.85	55.23	-34.97	1.29	81.75	-2.72	53.13	78.11	14.83	49.26	65.04	40.41	42.26	A1	A2	A3	0.81	informative;educational;vivid	20/05/2024	1
CRDS-INF-0184	infographic	2	A historic-event timeline for young adults (18-29), evoking modernity; primarily viewed on mobile devices. Image-heavy layout. Brand identity is established and the palette must respect existing guidelines. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-INF-0184.jpg	#010867	#00428C	#0569BE	#09A8C1	#4CDFE8	10.25	36.46	-53.02	28.87	12.92	-46.03	44.02	7.88	-51.45	63.27	-26.81	-22.95	81.91	-35.45	-15.79	A1	A2	A3	0.71	modern;educational;sequential;data-driven	20/05/2024	1
CRDS-INF-0185	infographic	2	A climate-change projections summary for teens (13-17), with seasonal-winter overtones; primarily viewed on mobile devices. Symmetrical composition. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-INF-0185.jpg	#F75858	#FDCC2E	#70BF1E	#1E92C2	#664796	59.4	60.65	33.49	84.11	3.53	77.53	70.03	-48.16	65.43	56.81	-13.74	-33.48	36.99	30.76	-38.76	A1	A2	A3	0.86	scientific;instructional;vivid	19/05/2024	1
CRDS-INF-0186	infographic	2	A cybersecurity attack-vector overview for older adults (50+), respecting WCAG-AAA contrast; primarily viewed on mobile devices. Mixed text and graphics. Brand identity is established and the palette must respect existing guidelines. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-INF-0186.jpg	#1B3C2B	#276149	#6FC19D	#D5FBD7	#F4F4F4	22.44	-16.92	6.86	36.86	-25.34	8.09	72.2	-33.38	10.39	95.18	-18.83	13.22	96.19	-0.0	0.0	A1	A2	A3	0.66	modern;trustworthy;clear;corporate	20/05/2024	1
CRDS-INF-0187	infographic	2	A national vaccination-rate breakdown for children (under 12), with a tactile, organic feeling; primarily viewed on mobile devices. Asymmetrical composition. Status indicators (success, warning, error) must be clearly distinguishable. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-INF-0187.jpg	#07065C	#003485	#057EBF	#06ABCA	#4FC6E4	8.55	34.13	-48.5	24.16	19.84	-49.35	50.35	-4.7	-41.93	64.5	-25.39	-26.06	74.6	-24.08	-24.72	A1	A2	A3	0.86	sequential;instructional	19/05/2024	1
CRDS-INF-0188	infographic	2	A international trade flows map for young adults (18-29), respecting WCAG-AAA contrast; must remain legible in small thumbnails. Dense layout with multiple data sections. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#1B5B61	#42C9B1	#ECFAED	#FF6A6A	#FDF365	35.16	-17.63	-9.33	73.61	-41.84	1.4	96.95	-6.91	4.65	63.85	56.75	29.24	94.28	-13.49	67.75	A1	A2	A3	0.89	scientific;vivid;calm	22/05/2024	1
CRDS-INF-0189	infographic	2	A endangered-species count breakdown for professional / b2b, using a soft pastel palette; must work in monochrome fallback. Multi-column grid. Category coding will be used and needs at least four distinct hues. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-INF-0189.jpg	#04075F	#085391	#0579B8	#008AC8	#40C9E7	9.02	34.44	-49.73	34.56	3.91	-39.92	48.47	-4.43	-40.89	54.39	-8.46	-40.69	75.22	-26.73	-25.42	A1	A2	A3	0.8	data-driven;modern;sequential;credible	20/05/2024	1
